GID,PID,OFF,DEF,TYPE,DSEQ,LEN,QTR,MIN,SEC,PTSO,PTSD,DWN,YTG,YFOG,ZONE,PTS,FGXP,FKICKER,DIST,GOOD,SEAS,WEEK,DAY,V,H,STAD,TEMP,HUMD,WSPD,COND,SURF,COND2
2538,411382,PIT,KC,FGXP,12,4,2,14,54,0,7,4,6,82,5,3,FG,JR-110,36,1,2009,11,SUN,PIT,KC,ArrowheadStadium,55,62,8,Cloudy,Grass,Clean
2748,445571,JAC,KC,FGXP,10,4,2,0,11,10,14,4,1,99,5,3,FG,JS-110,18,1,2010,7,SUN,JAC,KC,ArrowheadStadium,63,80,20,Cloudy,Grass,Clean
2748,445526,JAC,KC,FGXP,9,4,1,1,17,0,7,4,5,83,5,3,FG,JS-110,35,1,2010,7,SUN,JAC,KC,ArrowheadStadium,63,80,20,Cloudy,Grass,Clean
716,116522,STL,KC,FGXP,10,3,1,5,13,3,14,4,5,77,4,NA,FG,JW-330,42,0,2002,14,SUN,STL,KC,ArrowheadStadium,38,67,12,Cloudy,Grass,Clean
716,116503,STL,KC,FGXP,5,3,1,12,45,0,0,4,8,82,5,3,FG,JW-330,36,1,2002,14,SUN,STL,KC,ArrowheadStadium,38,67,12,Cloudy,Grass,Clean
323,52326,PIT,KC,FGXP,12,4,2,9,53,0,0,4,8,77,4,3,FG,KB-230,42,1,2001,5,SUN,PIT,KC,ArrowheadStadium,57,59,15,Sunny,Grass,Clean
323,52343,PIT,KC,FGXP,9,3,2,2,13,3,0,4,3,63,4,3,FG,KB-230,55,1,2001,5,SUN,PIT,KC,ArrowheadStadium,57,59,15,Sunny,Grass,Clean
1090,177487,HOU,KC,FGXP,9,3,2,7,3,0,7,4,7,90,5,3,FG,KB-230,28,1,2004,3,SUN,HOU,KC,ArrowheadStadium,71,63,3,Sunny,Grass,Clean
1090,177510,HOU,KC,FGXP,10,3,2,0,10,3,7,1,15,69,4,3,FG,KB-230,49,1,2004,3,SUN,HOU,KC,ArrowheadStadium,71,63,3,Sunny,Grass,Clean
1090,177590,HOU,KC,FGXP,7,5,4,0,7,21,21,1,11,69,4,3,FG,KB-230,49,1,2004,3,SUN,HOU,KC,ArrowheadStadium,71,63,3,Sunny,Grass,Clean
